"GRPSORT","SNAME","COMMON_NAME","AUTHOR","SYNONYMY","ALTSYN","GRANK","SRANK","FEDSTAT","SPROT","TRK"
"VAS","Hypericum virgatum","Sharp-leaf St. John's-wort","<i>Hypericum virgatum</i> Lam.","<i>Hypericum denticulatum</i> var. <i>acutifolium</i>","","G4?","S3","","","Watch List"
"VAS","Hypoxis curtissii","Curtiss' yellow stargrass","<i>Hypoxis curtissii</i> Rose","","","G4?","S3","","","Watch List"
"VAS","Ilex vomitoria","Yaupon","<i>Ilex vomitoria</i> Ait.","","","G5","S3","","","Watch List"
"VAS","Iresine rhizomatosa","Eastern Bloodleaf","<i>Iresine rhizomatosa</i> Standl.","","","G5","S3","","","Watch List"
"VAS","Iris prismatica","Slender Blue Iris","<i>Iris prismatica</i> Pursh ex Ker-Gawl.","","","G4","S3","","","Watch List"
"VAS","Iris versicolor","Larger Blue Flag","<i>Iris versicolor</i> L.","","","G5","S3","","","Watch List"
"VAS","Isoetes riparia","Shore Quillwort","<i>Isoetes riparia</i> Engelm. ex A. Braun","","","G5","S3","","","Watch List"
"VAS","Juglans cinerea","Butternut","<i>Juglans cinerea</i> L.","","","G3","S3?","","","Watch List"
"VAS","Juncus longii","Long's Rush","<i>Juncus longii</i> Fern.","","","G3Q","S3?","","","Watch List"
"VAS","Justicia ovata","Ovate Water-willow","<i>Justicia ovata</i> (Walt.) Lindau","","","G5","S3","","","Watch List"
"VAS","Lechea maritima var. virginica","Virginia Beach Pinweed","<i>Lechea maritima</i> Leggett ex B.S.P. var. <i>virginica</i> Hodgdon","","","G4T2T3","S3","","","Watch List"
"VAS","Leucospora multifida","Narrow-leaf paleseed","<i>Leucospora multifida</i> (Michx.) Nutt.","","","G5","S3","","","Watch List"
"VAS","Liatris aspera","Tall Gay-feather","<i>Liatris aspera</i> Michx.","","","G4G5","S3","","","Watch List"
"VAS","Liatris helleri","Heller's Blazing Star  ","<i>Liatris helleri</i> Porter","","","GNR","S3","","","Watch List"
"VAS","Lilium philadelphicum","Wood Lily","<i>Lilium philadelphicum</i> L.","","","G5","S3","","","Watch List"
"VAS","Linum sulcatum","Grooved Yellow Flax","<i>Linum sulcatum</i> Riddell","","","G5","S3","","","Watch List"
"VAS","Listera smallii","Appalachian Twayblade","<i>Listera smallii</i> Wieg.","","","G4","S3","","","Watch List"
"VAS","Lithospermum latifolium","American Gromwell","<i>Lithospermum latifolium</i> Michx.","","","G4","S3","","","Watch List"
"VAS","Lithospermum tuberosum","Tuberous Gromwell","<i>Lithospermum tuberosum</i> Rugel ex DC.","","","G4","S3","","","Watch List"
"VAS","Lonicera canadensis","American Fly-honeysuckle","<i>Lonicera canadensis</i> Bartr. ex Marsh.","","","G5","S3","","","Watch List"
"VAS","Ludwigia glandulosa","Cylindric-fruited Primrose-willow","<i>Ludwigia glandulosa</i> Walt.","","","G5","S3","","","Watch List"
"VAS","Ludwigia leptocarpa","Angle-stem Primrose-willow","<i>Ludwigia leptocarpa</i> (Nutt.) Hara","","","G5","S3","","","Watch List"
"VAS","Ludwigia sphaerocarpa","Globe-fruited Seedbox","<i>Ludwigia sphaerocarpa</i> Ell.","","","G4","S3","","","Watch List"
"VAS","Lygodium palmatum","American Climbing Fern","<i>Lygodium palmatum</i> (Bernh.) Sw.","","","G4","S3","","","Watch List"
"VAS","Malaxis spicata","Florida Adder's-mouth","<i>Malaxis spicata</i> Sw.","<i>Malaxis floridana</i>","","G4?","S3","","","Watch List"
"VAS","Meehania cordata","Meehan's Mint","<i>Meehania cordata</i> (Nutt.) Britt.","","","G5","S3","","","Watch List"
"VAS","Micranthes caroliniana","Carolina Saxifrage","<i>Micranthes caroliniana</i> (A. Gray) Small","<i>Saxifraga caroliniana</i>","","G3","S3","","","Watch List"
"VAS","Milium effusum var. cisatlanticum","Tall Millet Grass","<i>Milium effusum</i> L. var. <i>cisatlanticum</i> Fern.","","","G5T5","S3","","","Watch List"
"VAS","Minuartia patula","Pitcher's Stitchwort","<i>Minuartia patula</i> (Michx.) Mattf.","","","G4","S3","","","Watch List"
"VAS","Monotropsis odorata","Sweet Pinesap","<i>Monotropsis odorata</i> Schwein. ex Ell.","","","G3","S3","","","Watch List"
"VAS","Myriophyllum pinnatum","Cut-leaf Water-milfoil","<i>Myriophyllum pinnatum</i> (Walt.) B.S.P.","","","G5","S3","","","Watch List"
"VAS","Nabalus roanensis","Roan Mountain Rattlesnake-root","<i>Nabalus roanensis</i> Chickering","<i>Prenanthes roanensis</i>","","G3","S3","","","Watch List"
"VAS","Nelumbo lutea","American Lotus","<i>Nelumbo lutea</i> Willd.","","","G4","S3","","","Watch List"
"VAS","Ophioglossum engelmannii","Engelmann's Adder's-tongue","<i>Ophioglossum engelmannii</i> Prantl","","","G5","S3","","","Watch List"
"VAS","Packera antennariifolia","Cat's-paw Ragwort","<i>Packera antennariifolia</i> (Britt.) W.A. Weber & A. Love","","","G4","S3","","","Watch List"
"VAS","Packera paupercula var. paupercula","Balsam ragwort","<i>Packera paupercula</i> (Michx.) A. & D. Love var. <i>paupercula</i>","<i>Senecio pauperculus</i>","","G5TNR","S3?","","","Watch List"
"VAS","Panax quinquefolius","Ginseng","<i>Panax quinquefolius</i> L.","","","G3G4","S3S4","","LT","Watch List"
"VAS","Paronychia baldwinii ssp. riparia","Baldwin's Nailwort","<i>Paronychia baldwinii</i> (Torr. & Gray) Fenzl ex Walp. ssp. <i>riparia</i> (Chapman) Chaudhri","","","G5T4","S3","","","Watch List"
"VAS","Parthenium integrifolium var. mabryanum","Mabry's Wild Quinine","<i>Parthenium integrifolium</i> L. var. <i>mabryanum</i> Mears","","","G5T3","S3?","","","Watch List"
"VAS","Paspalum boscianum","Bull Paspalum","<i>Paspalum boscianum</i> Fluegge","","","G5","S3","","","Watch List"
"VAS","Pedicularis lanceolata","Swamp Lousewort","<i>Pedicularis lanceolata</i> Michx.","","","G4","S3","","","Watch List"
"VAS","Pellaea glabella ssp. glabella","Smooth Cliff-brake","<i>Pellaea glabella</i> Mett. ex Kuhn ssp. <i>glabella</i>","","","G5T5","S3","","","Watch List"
"VAS","Penstemon hirsutus","Hairy Beard-tongue","<i>Penstemon hirsutus</i> (L.) Willd.","","","G5","S3","","","Watch List"
"VAS","Phacelia purshii","Miami-mist","<i>Phacelia purshii</i> Buckl.","","","G5","S3","","","Watch List"
"VAS","Philadelphus hirsutus","Hairy Mock Orange","<i>Philadelphus hirsutus</i> Nutt.","","","G5","S3","","","Watch List"
"VAS","Phlox nivalis ssp. hentzii","Trailing Phlox","<i>Phlox nivalis</i> Lodd. ex Sweet ssp. <i>hentzii</i> (Nutt.) Wherry","","","G4T4","S3","","","Watch List"
"VAS","Phragmites americanus","American Common Reed","<i>Phragmites americanus</i> (Saltonstall, P.M. Peterson, &amp; Soreng) A. Haines","<i>Phragmites australis</i>","This is the native species of Phragmites in North America. Classified as a subspecies by Saltonstall, Peterson, and Soreng (2004).","G5T5","S3","","","Watch List"
"VAS","Physalis walteri","Dune Ground-cherry","<i>Physalis walteri</i> Nutt.","<i>Physalis viscosa</i> ssp. <i>maritima</i>, <i>Physalis maritima</i>","","GNR","S3","","","Watch List"
"VAS","Physostegia leptophylla","Slender-leaf False Dragonhead","<i>Physostegia leptophylla</i> Small","","","G4?","S3","","","Watch List"
"VAS","Platanthera flava","Southern Rein-orchis","<i>Platanthera flava</i> (L.) Lindl.","<i>Platanthera flava</i> var. <i>flava</i>","","G5","S3","","","Watch List"
"VAS","Platanthera herbiola","Tubercled Rein Orchid","<i>Platanthera herbiola</i> (R. Brown) Lindley","<i>Platanthera flava</i> var. <i>herbiola</i>","","G5T5","S3?","","","Watch List"
"VAS","Pogonia ophioglossoides","Rose Pogonia","<i>Pogonia ophioglossoides</i> (L.) Ker-Gawl.","","","G5","S3","","","Watch List"
"VAS","Polygala cruciata var. cruciata","Crossleaf milkwort","<i>Polygala cruciata</i> L. var. <i>cruciata</i>","","","G5T4T5","S3?","","","Watch List"
"VAS","Polygonella articulata","Coastal Jointweed","<i>Polygonella articulata</i> (L.) Meisn.","","","G5","S3","","","Watch List"
"VAS","Polygonum ramosissimum","Bushy Knotweed","<i>Polygonum ramosissimum</i> Michx.","","","G5","S3","","","Watch List"
"VAS","Ponthieva racemosa","Shadow Witch Orchid","<i>Ponthieva racemosa</i> (Walt.) C. Mohr","","","G5","S3","","","Watch List"
"VAS","Potamogeton perfoliatus","Perfoliate Pondweed","<i>Potamogeton perfoliatus</i> L.","","Treated as <i>P. perfoliatus</i> L. var. <i>bupleuroides</i> (Fern.) Farw. in Radford et al. (1968), and Fernald (1950)","G5","S3","","","Watch List"
"VAS","Prosartes maculata","Spotted Mandarin","<i>Prosartes maculata</i> A. Gray","<i>Disporum maculatum</i>","","G4","S3","","","Watch List"
"VAS","Prunus alleghaniensis var. alleghaniensis","Allegheny Plum","<i>Prunus alleghaniensis</i> Porter var. <i>alleghaniensis</i>","","","G4T4","S3","","","Watch List"
"VAS","Quercus laevis","Turkey Oak","<i>Quercus laevis</i> Walt.","","","G5","S3","","","Watch List"
"VAS","Quercus margarettae","Sand Post Oak","<i>Quercus margarettae</i> Ashe ex Small","<i>Quercus stellata</i> var. <i>margaretta</i>","","G5","S3","","","Watch List"
"VAS","Quercus virginiana","Live Oak","<i>Quercus virginiana</i> P. Mill.","","","G5","S3","","","Watch List"
"VAS","Rhododendron cumberlandense","Cumberland Azalea","<i>Rhododendron cumberlandense</i> E.L. Braun","","","G4?","S3","","","Watch List"
"VAS","Rhynchospora caduca","Angle-stem Beaksedge","<i>Rhynchospora caduca</i> Ell.","","","G5","S3","","","Watch List"
"VAS","Rhynchospora cephalantha var. cephalantha","Common bunched beaksedge","<i>Rhynchospora cephalantha</i> Gray var. <i>cephalantha</i>","","","G5T4T5","S3","","","Watch List"
"VAS","Rhynchospora macrostachya","Horned Beaksedge","<i>Rhynchospora macrostachya</i> Torr. ex Gray","","","G4","S3","","","Watch List"
"VAS","Rhynchospora perplexa","Pineland Beaksedge","<i>Rhynchospora perplexa</i> Britt.","","","G5","S3","","","Watch List"
