GRPSORT,SNAME,COMMON_NAME,Author,synname,ALTSYN,GRANK,SRANK,FEDSTAT,SPROT,TRK,,,,,,,,,,,,,,
AF,Cyprinella whipplei,Steelcolor Shiner,"Cyprinella whippleiÿGirard, 1856",Notropis whipplei,,G5,S1,,LT,Rare List,,,,,,,,,,,,,,
AF,Enneacanthus chaetodon,Blackbanded Sunfish,"Enneacanthus chaetodonÿ(Baird, 1855)",,,G3,S1,,LE,Rare List,,,,,,,,,,,,,,
AF,Erimonax monachus,Turquoise Shiner,"Erimonax monachusÿ(Cope, 1868)","Cyprinella monacha,ÿHybopsis monacha",,G2,S1,LT,LT,Rare List,,,,,,,,,,,,,,
AF,Erimystax cahni,Slender Chub,"Erimystax cahniÿ(Hubbs and Crowe, 1956)",Hybopsis cahni,,G1,S1,LT,LT,Rare List,,,,,,,,,,,,,,
AF,Erimyzon sucetta,Lake Chubsucker,"Erimyzon sucettaÿ(LacepŠde, 1803)",,,G5,S2,,,Rare List,,,,,,,,,,,,,,
AF,Etheostoma brevispinum,Carolina Fantail Darter,"Etheostoma brevispinumÿ(Coker, 1926)",,,G4,S1,,,Rare List,,,,,,,,,,,,,,
AF,Etheostoma caeruleum,Rainbow Darter,"Etheostoma caeruleumÿStorer, 1845",,,G5,S2,,,Rare List,,,,,,,,,,,,,,
AF,Etheostoma collis,Carolina Darter,"Etheostoma collisÿ(Hubbs and Cannon, 1935)",,,G3,S2,,LT,Rare List,,,,,,,,,,,,,,
AF,Etheostoma jessiae,Blueside Darter,"Etheostoma jessiaeÿ(Jordan and Brayton, 1878)",Etheostoma stigmaeum jessiae,,G4,S1,,,Rare List,,,,,,,,,,,,,,
AF,Etheostoma meadiae,Bluespar Darter,"Etheostoma meadiaeÿ(Jordan and Evermann, 1898)",,=ÿEtheostoma stigmaeum meadiae,G4,S2,,,Rare List,,,,,,,,,,,,,,
AF,Etheostoma osburni,Candy Darter,"Etheostoma osburniÿ(Hubbs and Trautman, 1932)",,,G3,S1,LE,LE,Rare List,,,,,,,,,,,,,,
AF,Etheostoma percnurum,Duskytail Darter,"Etheostoma percnurumÿJenkins, 1994",,,G1,S1,LE,LE,Rare List,,,,,,,,,,,,,,
AF,Etheostoma swannanoa,Swannanoa Darter,"Etheostoma swannanoaÿJordan and Evermann, 1889",,,G4,S2,,,Rare List,,,,,,,,,,,,,,
AF,Etheostoma variatum,Variegate Darter,"Etheostoma variatumÿKirtland, 1840",,,G5,S1,,LE,Rare List,,,,,,,,,,,,,,
AF,Fundulus rathbuni,Speckled Killifish,"Fundulus rathbuniÿJordan and Meek, 1889",,,G4,S2,,,Rare List,,,,,,,,,,,,,,
AF,Hybopsis hypsinotus,Highback Chub,"Hybopsis hypsinotusÿ(Cope, 1870)",,=ÿNotropis hypsinotus,G4,S2,,,Rare List,,,,,,,,,,,,,,
AF,Ichthyomyzon bdellium,Ohio Lamprey,"Ichthyomyzon bdelliumÿ(Jordan, 1885)",,,G3G4,S2,,,Rare List,,,,,,,,,,,,,,
AF,Ichthyomyzon greeleyi,Mountain Brook Lamprey,"Ichthyomyzon greeleyiÿHubbs and Trautman, 1937",,,G4,S2,,,Rare List,,,,,,,,,,,,,,
AF,Labidesthes sicculus,Brook Silverside,"Labidesthes sicculusÿ(Cope, 1865)",,,G5,S2,,,Rare List,,,,,,,,,,,,,,
AF,Lythrurus lirus,Mountain Shiner,"Lythrurus lirusÿ(Jordan, 1877)",Notropis lirus,,G4,S2S3,,,Rare List,,,,,,,,,,,,,,
AF,Moxostoma carinatum,River Redhorse,"Moxostoma carinatumÿ(Cope, 1870)",,,G4,S2S3,,,Rare List,,,,,,,,,,,,,,
AF,Moxostoma sp. 4,Brassy Jumprock,Moxostoma sp. 4,,,G4,S1S2,,,Rare List,,,,,,,,,,,,,,
AF,Nothonotus acuticeps,Sharphead Darter,"Nothonotus acuticepsÿ(Bailey, 1959)",Etheostoma acuticeps,,G3,S1,,LE,Rare List,,,,,,,,,,,,,,
AF,Nothonotus camurus,Bluebreast Darter,"Nothonotus camurusÿ(Cope, 1870)",Etheostoma camurum,,G4,S2,,,Rare List,,,,,,,,,,,,,,
AF,Nothonotus chlorobranchius,Greenfin Darter,"Nothonotus chlorobranchiusÿ(Zorach, 1972)",Etheostoma chlorobranchium,,G4,S1,,LT,Rare List,,,,,,,,,,,,,,
AF,Nothonotus denoncourti,Golden Darter,"Nothonotus denoncourtiÿ(Stauffer and van Snik, 1997)","Etheostoma tippecanoe(in part),ÿEtheostoma denoncourti",,G2,S1,,LT,Rare List,,,,,,,,,,,,,,
AF,Nothonotus vulneratus,Wounded Darter,"Nothonotus vulneratusÿCope, 1870",Etheostoma vulneratum,,G3,S2S3,,,Rare List,,,,,,,,,,,,,,
AF,Notropis alborus,Whitemouth Shiner,"Notropis alborusÿHubbs and Raney, 1947",,,G4,S1,,LT,Rare List,,,,,,,,,,,,,,
AF,Notropis ariommus,Popeye Shiner,"Notropis ariommusÿ(Cope, 1867)",,,G3,S2S3,,,Rare List,,,,,,,,,,,,,,
AF,Notropis atherinoides,Emerald Shiner,"Notropis atherinoidesÿRafinesque, 1818",,,G5,S1S2,,LT,Rare List,,,,,,,,,,,,,,
AF,Notropis bifrenatus,Bridle Shiner,"Notropis bifrenatusÿ(Cope, 1867)",,,G3,S2,,,Rare List,,,,,,,,,,,,,,
AF,Notropis semperasper,Roughhead Shiner,"Notropis semperasperÿGilbert, 1961",,,G2G3,S2S3,,,Rare List,,,,,,,,,,,,,,
AF,Notropis spectrunculus,Mirror Shiner,"Notropis spectrunculusÿ(Cope, 1868)",,,G4,S2,,,Rare List,,,,,,,,,,,,,,
AF,Notropis stramineus,Sand Shiner,"Notropis stramineusÿ(Cope, 1865)",,,G5,S2,,,Rare List,,,,,,,,,,,,,,
AF,Noturus eleutherus,Mountain Madtom,"Noturus eleutherusÿJordan, 1877",,,G4,S2S3,,,Rare List,,,,,,,,,,,,,,
AF,Noturus flavipinnis,Yellowfin Madtom,"Noturus flavipinnisÿTaylor, 1969",,,G1,S1,LT,LT,Rare List,,,,,,,,,,,,,,
AF,Noturus flavus,Stonecat,"Noturus flavusÿRafinesque, 1818",,,G5,S2,,,Rare List,,,,,,,,,,,,,,
AF,Noturus gilberti,Orangefin Madtom,"Noturus gilbertiÿJordan and Evermann, 1889",,,G2,S2,,LT,Rare List,,,,,,,,,,,,,,
AF,Percina aurantiaca,Tangerine Darter,"Percina aurantiacaÿ(Cope, 1868)",,,G4,S2S3,,,Rare List,,,,,,,,,,,,,,
AF,Percina bimaculata,Chesapeake logperch,"Percina bimaculataÿHaldeman, 1844",,,G1G2,S1,,,Rare List,,,,,,,,,,,,,,
AF,Percina burtoni,Blotchside Logperch,"Percina burtoniÿFowler, 1945",,,G2G3,S1,,,Rare List,,,,,,,,,,,,,,
AF,Percina copelandi,Channel Darter,"Percina copelandiÿ(Jordan, 1877)",,,G4,S2,,,Rare List,,,,,,,,,,,,,,
AF,Percina crassa,Piedmont Darter,"Percina crassaÿ(Jordan and Brayton, 1878)",,,G4,S1,,,Rare List,,,,,,,,,,,,,,
AF,Percina evides,Gilt Darter,"Percina evidesÿ(Jordan and Copeland, 1877)",,,G4,S2,,,Rare List,,,,,,,,,,,,,,
AF,Percina maculata,Blackside Darter,"Percina maculataÿ(Girard, 1859)",,,G5,S1,,,Rare List,,,,,,,,,,,,,,
AF,Percina rex,Roanoke Logperch,"Percina rexÿ(Jordan and Evermann, 1889)",,,G2G3,S1S2,LE,LE,Rare List,,,,,,,,,,,,,,
AF,Percina sciera,Dusky Darter,"Percina scieraÿ(Swain, 1883)",,,G5,S1S2,,,Rare List,,,,,,,,,,,,,,
AF,Percina williamsi,Sickle darter,"Percina williamsiÿPage and Near, 2007",Percina macrocephala(in part),,G2,S1S2,LT,LT,Rare List,,,,,,,,,,,,,,
AF,Percopsis omiscomaycus,Trout-perch,"Percopsis omiscomaycusÿ(Walbaum, 1792)",,,G5,SX,,,Rare List,,,,,,,,,,,,,,
AF,Phenacobius crassilabrum,Fatlips Minnow,"Phenacobius crassilabrumÿMinckley and Craddock, 1962",,,G3G4,S2,,,Rare List,,,,,,,,,,,,,,
AF,Phenacobius mirabilis,Suckermouth Minnow,"Phenacobius mirabilisÿ(Girard, 1856)",,,G5,S1S2,,,Rare List,,,,,,,,,,,,,,
AF,Phenacobius teretulus,Kanawha Minnow,"Phenacobius teretulusÿCope, 1867",,,G3G4,S2S3,,,Rare List,,,,,,,,,,,,,,
AF,Pimephales vigilax,Bullhead Minnow,"Pimephales vigilaxÿ(Baird and Girard, 1853)",,,G5,S1,,,Rare List,,,,,,,,,,,,,,
AF,Polyodon spathula,Paddlefish,"Polyodon spathulaÿ(Walbaum, 1792)",,,G4,S1,,LT,Rare List,,,,,,,,,,,,,,
AF,Sander canadensis,Sauger,"Sander canadensisÿ(Griffith and Smith, 1834)",Stizostedion canadense,,G5,S2S3,,,Rare List,,,,,,,,,,,,,,
